Site,Designation,HT_CONT,Rep,Row,Col
Env1,IR11A279,77,1,4,3
Env1,IR11A192,80,2,20,1
Env1,IR11A151,90,1,18,3
Env1,IR10N304,66,2,20,2
Env1,IR10N292,86,2,19,1
Env1,IR10N291,81,1,19,3
Env1,IR10N289,86,2,14,2
Env1,IR10N286,75,2,33,2
Env1,IR10N271,71,1,8,4
Env1,IR10N225,73,2,23,1
Env1,IR10N205,70,2,8,1
Env1,IR10N160,82,2,23,2
Env1,IR10A231,77,2,32,1
Env1,IR10A227,86,1,24,4
Env1,IR09N473,82,1,29,3
Env1,IR09N212,92,2,13,2
Env1,IR08N134,78,2,6,2
Env1,IR08A172,74,2,6,1
Env1,IR07A234,77,1,12,3
Env1,IR06A155,75,2,4,2
Env1,IR06A150,82,1,17,3
Env1,IR05N419,87,1,32,4
Env1,IR05N412,74,1,37,4
Env1,IRRI 156,71,4,1,4
Env1,IR10F559,81,2,8,1
Env1,IR04A115,77,2,26,1
Env1,IR10N285,69,1,15,4
Env1,IRRI 156,79,5,3,1
Env1,IRRI 156,79,2,25,3
Env1,IR 64,66,3,10,2
Env1,IRRI 154,70,3,28,2
Env1,IRRI 154,73,1,10,3
Env1,IR 84636-13-12-2-6-3-3-2-2-B,76,1,9,4
Env1,IR09N251,84,1,28,4
Env1,IR12A166,85,2,6,3
Env1,IR09N533,62,1,31,2
Env1,IRRI 161,102,1,35,3
Env1,IR07A183,78,1,32,3
Env1,IR08A176,91,1,37,3
Env1,IR10N134,69,2,1,3
Env1,IR10N108,75,1,2,4
Env1,IR10A196,79,1,28,4
Env1,IR10A196,83,2,34,4
Env1,IR09N536,74,2,5,2
Env1,IR09N536,73,1,7,3
Env1,IR09N532,71,1,32,4
Env1,IR09N503,66,2,27,1
Env1,IR09A228,73,1,11,4
Env1,IR08N210,74,1,22,4
Env1,IR08N210,74,2,31,4
Env1,IR08N150,81,2,2,3
Env1,IR08N136,78,1,19,2
Env1,IR 64-PUP1-M,56,2,33,1
Env1,IR 64-PUP1-H,98,1,23,4
Env1,IR12N245,75,2,13,1
Env1,IR12N122,66,1,21,4
Env1,IR12N122,67,2,9,2
Env1,IR12N121,74,1,1,4
Env1,IR10N276,69,1,35,4
Env1,IR09A136,81,1,5,3
Env1,NSIC RC 182,78,2,1,1
Env1,NSIC RC 160,66,1,7,3
Env1,IRRI 105,72,2,2,1
Env1,IRRI 105,76,1,21,3
Env1,IR 74-Pup1-D,57,1,16,3
Env1,IR 74-Pup1-B,54,2,25,2
Env1,IR11N313,78,2,17,2
Env1,IR11A306,76,1,4,4
Env1,IR11A303,70,2,10,2
Env1,IR11A292,86,1,21,4
Env1,IR11A282,100,2,17,1
Env1,IR10N305,82,1,10,4
Env1,IR10N286,75,1,6,3
Env1,IR10N148,79,2,30,2
Env1,IR10N136,84,2,22,2
Env1,IR10N136,84,1,16,4
Env1,IR09N507,78,2,33,1
Env1,IR09N473,74,2,34,2
Env1,IR09N190,69,2,24,2
Env1,IR09A224,78,2,13,1
Env1,IR05N412,68,2,35,2
Env1,IR05N341,94,1,6,4
Env1,IR04A428,86,2,19,2
Env1,IR04A428,95,1,22,3
Env1,IR04A115,76,1,3,3
Env1,IRRI 168,72,1,18,3
Env1,IRRI 168,82,4,23,3
Env1,IRRI 156,73,3,22,2
Env1,IR 64,87,4,6,1
Env1,IRRI 154,76,4,26,3
Env1,IRRI 154,70,5,8,2
Env1,IRRI 154,71,2,11,2
Env1,IRRI 146,59,4,14,1
Env1,IR10N266,74,2,36,2
Env1,IR10N108,75,2,6,2
Env1,IR10A267,75,2,20,2
Env1,IRRI 161,97,2,23,2
Env1,CIHERANG-SUB1,77,2,17,3
