PLOT,ENTRYNO,GID,ENTRY,DESIGNATION,PARENTS,SOURCE,REP,ROW,COLUMN,SEEDING_DATE,FLW,MATURITY,PLTHGT,TILLER,MC,Plotyield-H,MISSHILL,Plotyield-C,Plotyield-Adj,LODGING,Ldg-Sticks,GLH,BPH,BLAST,BB1,BB2,HARVESTDATE,REMARKS
118,M1090,2697649,IR10M121,IR 84726-65-3-2-3-1,IR 70114-5-3-3-3/IR 73691-14-1,M3434,1,7,15,20130608,86,116,103,22,10,2578,,2921,2698,,,5,5,2,1,7,03-Oct,shb
187,M1091,2697646,IR10M122,IR 84726-78-2-2-2-1,IR 70114-5-3-3-3/IR 73691-14-1,M3435,1,5,12,20130608,86,116,102,22,11.2,2367,,2897,2444,,,5,3,1,1,7,07-Oct,"SHB, short"
167,M1092,2697641,IR10M123,IR 84726-87-2-1-3-3,IR 70114-5-3-3-3/IR 73691-14-1,M3436,1,5,32,20130608,86,116,101,19,10.9,2929,,2994,3035,,,5,3,1,1,7,04-Oct,short erect flags
332,M1357,2697531,IR10M126,IR 84750-164-3-2-1-2,IR 75862-206-2-8-3-B-B-B/IRRI 123,M3684,1,10,35,20130608,92,122,124,13,10.1,2680,,2231,2802,,,3,1,0,1,1,09-Oct,
567,M1358,2696924,IR10M144,IR 85656-2-3-1-3,IR05M119/IR 65450-173-2-1-3-3,M3685,1,3,61,20130608,88,118,134,14,10.8,2394,,3348,2483,7,S,3,1,4,1,1,17-Oct,
587,M1359,2696901,IR10M147,IR 85656-73-3-1-2,IR05M119/IR 65450-173-2-1-3-3,M3686,1,3,41,20130608,89,119,124,23,10.5,2547,,,2651,7,,3,1,4, 1/7,3,10-Oct,shb
273,M1093,2432627,IR10M239,IR 83663-20-3-2-2,IR 65192-4B-11-3/IR 64//AREUMBYEO,M3688,1,2,9,20130608,88,118,133,18,12,2333,,2520,2387,9,S,5,5,3,1, 1/7,17-Oct,
458,M1360,2830601,IR10M278,IR 85825-67-3-1-3-3,IR 75862-221-2-1-2-B-B-B/IR 64//IRRI 123,M3689,1,7,38,20130608,88,118,131,15,11.5,2768,,2448,2848,7,S,5,1,0,1,3,09-Oct,shb
396,M1361,2830276,IR10M292,IR 85849-33-1-2-1-2,IR 69428-6-1-1-3-3/2IR 36,M3437,1,9,34,20130608,85,115,123,18,9.4,2043,,2283,2152,5,,5,5,4, 1/3,5,07-Oct,"bb, shb"
558,B1362,2433641,IR10N101,IR 82493-71-1-2-2-2,IR00A115/IR01N144,B3593,1,4,63,20130608,90,120,133,17,10.4,1861,,2296,1939,7,,3,7,5,1,5,14-Oct,few off types; long pan
468,B1363,2432913,IR10N105,IR 83722-105-2-2-1,IR04N114/IR 72102-4-159-1-3-3-3 (NSIC RC 112)//Mae khaw,B3350,1,6,39,20130608,83,113,144,17,10,2950,,2490,3087,5,S,9,7,0,1,05-Mar,03-Oct,"early, nb, rainfed-type"
635,B1364,2754601,IR10N108,IR 84029-B2-49-3-2-3-3,IR 65620-192-3-3-3-2/IR02N463//IR 72875-94-3-3-2,B3594,1,1,59,20130608,99,129,135,18,12.4,2538,,,2585,3,,3,7,0,1,7,20-Oct,
465,B1365,2754452,IR10N118,IR 83822-31-3-1-2-2-1,IR 68058-71-2-1/IR 71700-247-1-1-2,B3595,1,6,36,20130608,95,125,130,15,11.6,2754,,2875,2831,5,,3,5,3,1,5,20-Oct,
388,B1366,2757262,IR10N122,IR 83838-118-1-3-2-3-1,IR00A117/IR 73707-45-3-2-3,B3596,1,9,42,20130608,90,120,139,14,11.5,2252,1,2365,2317,7,S,3,9,5,1,5,14-Oct,shb
212,B1094,2754474,IR10N130,IR 84030-46-2-1-2-2-2,IR 65620-192-3-3-3-2/NSIC RC 158//IR 72890-81-3-2-2,B3351,1,4,14,20130608,83,113,121,16,9.9,2158,,2492,2261,7,,5,5,1,1,1,03-Oct,"shb,spreading type"
307,B1095,2697451,IR10N134,IR 84057-B2-93-1-2-3-1,IRRI 143/NSIC RC 158//IR 60,B3352,1,1,24,20130608,88,118,131,21,10,3104,,2486,3248,3,,3,3,3,1,1,14-Oct,shb
603,B1367,2754527,IR10N136,IR 84727-91-2-3-3-1,IR 71606-1-1-4-2-3-1-2 (NSIC 110/IR 73459-120-2-2-3,B3597,1,2,42,20130608,93,123,123,15,11.2,2560,,,2643,,,3,9,0,1,5,11-Oct,
416,B1368,2697638,IR10N137,IR 84729-6-1-1-1-3,IR 71700-247-1-1-2/IRRI 137,B3598,1,8,53,20130608,87,117,125,16,11.4,2461,,3286,2535,,,3,7,3,1,5,10-Oct,"X,blast, neck blast, shB"
534,B1369,2697576,IR10N148,IR 84741-5-2-3-2-2,IR 73012-137-2-2-2/IR01N107,B3599,1,4,39,20130608,88,118,143,15,10.4,2875,,2442,2995,7,S,5,5,0,1,5,14-Oct,shb
361,B1370,2697495,IR10N160,IR 84757-58-1-1-3-2,IR04A115/IR01N203,B3600,1,10,64,20130608,90,120,126,17,12.6,2486,,1689,2526,,,3,5,3,1,5,17-Oct,
146,B1096,2697485,IR10N161,IR 84757-89-3-3-1-3,IR04A115/IR01N203,B3353,1,6,14,20130608,81,111,120,13,10.1,2664,,2957,2785,9,,3,7,0,1,7,04-Oct,
195,B1097,2754625,IR10N186,IR 85133-97-3-1-3-3,IR 63896-60-3-1-2/IR 71676-106-10-3//IRRI 123,B3601,1,5,4,20130608,89,119,122,17,11.6,2514,10,3143,2584,3,,3,7,0,1,7,10-Oct,not so good
38,B1098,2754672,IR10N202,IR 85144-54-1-2-3-2,IR 72903-121-2-1-2/IR 73711-130-1-3-1//IR 64680-81-2-2-1-3,B3602,1,9,29,20130608,88,118,110,20,9.9,2353,,2886,2465,,,3,3,1,1,7,07-Oct,
