Env,Gen,Blk,YLD1
ENV1,IRRI 138,1,6781
ENV1,IR00W102,2,6793
ENV1,IRRI 157,1,6797
ENV1,IRRI 123,1,6804
ENV1,IRRI 167,2,6807
ENV1,IR08A128,2,6808
ENV1,IR 77674-3B-63-3-3-7-3,2,6808
ENV1,IR07A137,1,6810
ENV1,IR13A296,1,6814
ENV1,IR13A442,1,6815
ENV1,IR08A192,2,6818
ENV1,IR 110637-B-B-2-1-2,1,6819
ENV1,IR 52,1,6825
ENV1,IR13A187,1,6826
ENV1,IR10N191,1,6829
ENV1,IR03A477,1,6830
ENV1,IR09N212,1,6834
ENV1,IR08N165,2,6837
ENV1,IR 93339:11-B-23-16-B-B-B-10,1,6837
ENV1,IRRI 150,2,6840
ENV1,IR09N465,2,6845
ENV1,IRRI 168,4,6860
ENV1,IRRI 108,2,6867
ENV1,IR13N132,1,6875
ENV1,IR12A285,1,6878
ENV1,IR10K148,1,6882
ENV1,IR BB 66,1,6883
ENV1,IRRI 154,4,6889
ENV1,IR03A500,2,6890
ENV1,IR09N251,1,6890
ENV1,IR 72,2,6895
ENV1,IR10N202,1,6896
ENV1,IR 93336:10-B-18-15-B-B-B-29,1,6899
ENV1,IRRI 150,1,6900
ENV1,IR10N252,1,6900
ENV1,IR13A122,1,6910
ENV1,IR10M145,1,6914
ENV1,IRRI 168,1,6915
ENV1,IR 93339:11-B-23-16-B-B-B-8,1,6921
ENV1,IRRI 154,6,6926
ENV1,IR10N238,1,6933
ENV1,IRRI 104,1,6935
ENV1,IR08N120,1,6938
ENV1,IR 103806:250-B RGA,1,6945
ENV1,IR09A231,1,6947
ENV1,IR13A363,1,6948
ENV1,IR04A212,1,6954
ENV1,IR 103806:98-B RGA,1,6957
ENV1,IR10N186,2,6963
ENV1,IR 52,2,6965
ENV1,IRRI 154,1,6965
ENV1,IRRI 165,3,6970
ENV1,IR10N122,1,6970
ENV1,IR12N197,1,6971
ENV1,IRRI 154,6,6985
ENV1,IR13N119,1,7001
ENV1,IR09N261,2,7012
ENV1,IR 93339:11-B-23-16-B-B-B-19,1,7017
ENV1,IR 58,1,7022
ENV1,IR08N104,1,7028
ENV1,IR 110617-C1-B-B-B-5-1,1,7029
ENV1,IRRI 125,2,7044
ENV1,IRRI 142,2,7045
ENV1,IR09N190,1,7048
ENV1,IR 103806:190-B RGA,1,7051
ENV1,IR13A248,1,7056
ENV1,IRRI 148,2,7059
ENV1,IR 93336:10-B-18-15-B-B-B-30,1,7062
ENV1,IR06N147,2,7070
ENV1,IR12N128,1,7072
ENV1,IR13N217,1,7079
ENV1,IR 110628-B-B-B-4-1,1,7086
ENV1,IR09N511,1,7090
ENV1,IR 29,1,7096
ENV1,IR13A274,1,7098
ENV1,IR09A138,1,7102
ENV1,IR 70,2,7105
ENV1,IR 65482-7-216-1-2,1,7114
ENV1,IR13A361,1,7122
ENV1,IR13A475,1,7125
ENV1,IR 110621-C1-C2-B-B-B-18-3,1,7131
ENV1,IR 60,1,7135
ENV1,IR 110627-B-B-B-3-1,1,7139
ENV1,IRRI 154,3,7142
ENV1,IR08A192,1,7142
ENV1,IR10K148,2,7152
ENV1,IR06N147,1,7155
ENV1,IR09N523,2,7164
ENV1,IR09N180,1,7168
ENV1,IR03A550,1,7169
ENV1,IR 110621-C1-C2-B-B-B-3-1,1,7170
ENV1,IR 29,2,7171
ENV1,IR09A162,1,7182
ENV1,IR 103806:56-B RGA,1,7192
ENV1,IRRI 158,2,7193
ENV1,IR13A193,1,7197
ENV1,NSIC 2011 RC 282,1,7200
ENV1,IR08N164,2,7200
ENV1,IR09N465,1,7212
ENV1,IR09N501,1,7224
ENV1,IR 93336:10-B-18-15-B-B-B-26,1,7224
ENV1,IR 95444-112-2-1-3,1,7224
ENV1,IR09N278,1,7226
ENV1,IR 102885-25-10,1,7229
ENV1,IR09N389,1,7234
ENV1,IR13A374,1,7234
ENV1,IR09N389,2,7240
ENV1,IR13A310,1,7242
ENV1,IR13A522,1,7245
ENV1,IRRI 168,3,7253
ENV1,IR13A121,1,7256
ENV1,IR09N106,1,7261
ENV1,IR10M133,1,7261
ENV1,IR08N131,1,7263
ENV1,IR 96842-58-2-3,1,7265
ENV1,SABITRI,1,7271
ENV1,IR10N286,1,7272
