GID,ENTRY!,DESIGNATION,PARENTS,ENTRYNO,PLOT,SOURCE,MATGP!,REP!,ROW,COLUMN,FLW,MATURITY,PLTHGT,TILLER,14MC,PLOTYIELD,MISSHILL,CPY,GRNYLD(Y/ha),BLAST,BB1,BPH,GLH,HARVESTDATE
3522660,IR12A185,IR 91052-94-3-3-2,IRRI 154/IRRI 143,A3272,450,A5165,1,2,18,1,87,117,101,12,9.7,7143,,,9921,,,,,2013-04-08
2697651,IR10M120,IR 84726-3-3-3-2-2,IR 70114-5-3-3-3/IR 73691-14-1,M3433,451,M2889,1,2,19,1,85,115,86,13,9.4,5865,,,8173,,,,,2013-04-08
3522645,IR12A183,IR 91052-4-3-1-2,IRRI 154/IRRI 143,A3271,452,A5163,1,2,19,2,85,115,92,13,9.5,5532,7,5745,7997,,,,,2013-04-08
3522701,IR12A210,IR 91065-31-3-1-1,IR05A117/IRRI 123,A3284,453,A5190,1,2,19,3,86,116,100,13,10.5,6289,,,8657,,,,,2013-04-08
1856104,IR06N147,IR 80404-28-2-3-2,IR02N252/IRRI 143,B3324,454,B2813,1,2,19,4,83,113,85,14,10.8,4904,,,6728,,,,,2013-04-05
2859118,IR10A314,IR 87061-49-1-1-3,IR01W106/IRRI 105//IRRI 146,A3245,455,A2810,1,2,19,5,84,114,99,13,10.1,5827,,,8057,,,,,2013-04-05
3522682,IR12A199,IR 91058-94-1-5-3,IR04A427/IRRI 143,A3279,456,A5179,1,2,19,6,85,115,101,13,10.3,5259,1,5287,7294,,,,,2013-04-05
3426020,IR12A203,IR 91061-52-3-2-3,IR04A427/MTU 1010,A3282,457,A5183,1,2,19,7,91,121,114,16,10.3,6633,,,9151,,,,,2013-04-09
1960416,IR06N212,IR 80922-3-2-2-3,IR 68552-100-1-2-2/BASMATI 370,B3325,458,B2732,1,2,19,8,84,114,103,17,9.4,4359,,,6074,,,,,2013-04-05
3426293,IR12A237,IR 91106-79-2-1-3,MTU 1010/IR06M139,A3295,459,A5217,1,2,19,9,91,121,113,15,12.6,7210,,,9692,,,,,2013-04-11
2697075,IR10N285,IR 85649-17-1-2-2,IR05N334/IR 72225-20-3-2-3,B3361,460,B3132,1,2,19,10,80,110,94,13,11.6,5664,1,5694,7742,,,,,2013-04-05
2432990,IR09N536,IR 83704-123-2-1-2,IR04N114/IR 73459-120-2-2-3//KHAO KHAE,B3347,461,B2786,1,2,19,11,81,111,95,12,9.5,5769,,,8030,,,,,2013-04-05
2972687,IR11A151,IR 87523-71-3-1-2,IR00A115/IR 72875-94-3-3-2,A3247,462,A2963,1,2,19,12,91,121,114,13,10,6423,,,8891,,,,,2013-04-09
3426236,IR12A228,IR 91098-34-2-3-3,IR06M146/IRRI 136,A3289,463,A5208,1,2,19,13,97,127,117,16,13.9,6164,,,8163,,,,,2013-04-15
2471800,IR09N389,IR 84067-4-2-3-3,IRRI 135/IRRI 146//IR 64,B3337,464,B2740,1,2,19,14,81,111,101,12,9.7,5286,,,7342,,,,,2013-04-05
2338078,IR08N104,IR 82252-145-2-3-3-2,IR 72225-20-3-2-3/IR04K101//IRRI 136,B3326,465,B2734,1,2,19,15,81,111,93,14,9.8,4364,2,4411,6119,,,,,2013-04-05
76174,IRRI104,PSB RC 10,IR 33021-39-2-2/IR 32429-47-3-2-2,A3444,466,A2747,1,2,19,16,76,106,68,13,10.7,3996,,,5489,,,,,2013-04-05
3426891,IR12N225,IR 92233-19-3-3-1,IRRI 146/TEQING,B3414,467,B5386,1,2,19,17,86,116,88,13,9.8,6171,,,8561,,,,,2013-04-08
3427205,IR12A299,IR 92270-29-1-2-3,IR 68897 B/IR 73013-95-1-3-2 R,A3313,468,A5279,1,2,19,18,86,116,99,13,12.2,6021,3,6118,8262,,,,,2013-04-08
2220505,IR07A167,IR 81352-65-2-1-3-3,IR 73013-95-1-3-2/IR 72862-27-3-2-3,A3215,469,A2709,1,2,19,19,84,114,79,13,10.4,4753,,,6550,,,,,
2472115,IR09A102,IR 83821-95-3-2-3,IR 66/IR 72870-19-2-2-3,A3225,470,A2713,1,2,19,20,81,111,88,13,12.1,5635,1,5665,7659,,,,,2013-04-05
2472088,IR09A220,IR 83832-90-3-2-3,IR 72903-121-2-1-2/IRRI 135,A3236,471,A2857,1,2,19,21,86,116,102,12,11.3,6136,,,8371,,,,,2013-04-05
1254166,IR04A381,IR 78545-49-2-2-2,IR 71137-184-3-2-3-3/IR 72875-94-3-3-2,A3208,472,A2706,1,2,19,22,80,110,86,19,9.4,3879,1,3900,5434,,,,,2013-04-05
3425795,IR12N169,IR 91007-91-2-2-3,GIZA 178/MTU 1010,B3384,473,B5330,1,2,19,23,90,120,105,16,11,5350,,,7324,,,,,2013-04-09
3425650,IR12N151,IR 90231-147-3-3-2-2,IR01N110/IRRI 146//SAKHA 104,B3377,474,B5312,1,2,19,24,86,116,94,18,10.2,5279,,,7291,,,,,2013-04-05
3427055,IR12A291,IR 92242-44-1-1-3,IR04A427/TEQING,A3309,475,A5271,1,2,19,25,90,120,104,21,9.4,6655,1,6690,9323,,,,,2013-04-09
2348663,IR08A192,IR 82571-26-2-3-2,NSIC RC 138/IRRI 123,A3224,476,A2755,1,2,20,25,84,114,95,22,10.4,5901,,,8132,,,,,2013-04-05
3425587,IR12N145,IR 90226-82-3-3-1-2,IR 65564-44-5-1/IRRI 146//IRRI 146,B3374,477,B5306,1,2,20,24,84,114,88,20,9.8,4696,,,6515,,,,,2013-04-05
3426843,IR12A268,IR 91136-39-2-2-1,THADOKKHAM 1/IRRI 154,A3304,478,A5248,1,2,20,23,90,120,105,19,11.9,7162,,,9705,,,,,2013-04-09
2432993,IR09N535,IR 83704-121-2-2-2,IR04N114/IR 73459-120-2-2-3//KHAO KHAE,B3346,479,B2785,1,2,20,22,81,111,93,19,10.1,5275,,,7294,,,,,
3272879,IR12A108,IR 90203-4-1-2-1,IRRI 168/IR 65482-4-136-2-2-B//JANAKI,A3254,480,A5417,1,2,20,21,78,108,88,20,10,5677,,,7859,,,,,2013-04-05
2465360,IR09N278,IR 83822-566-2-1-3,IR 68058-71-2-1/IR 71700-247-1-1-2,B3336,481,B2779,1,2,20,20,83,113,87,17,9.5,4132,,,5752,,,,,2013-04-05
3425768,IR12N164,IR 91000-81-3-2-3,FEDEARROZ 50/IRRI 123,B3381,482,B5325,1,2,20,19,85,115,97,19,10.8,5212,,,7151,,,,,
3426617,IR12A167,IR 91028-146-3-3-3,IR01A111/MTU 1010,A3265,483,A5147,1,2,20,18,78,108,116,13,10.1,4713,3,4789,6622,,,,,2013-04-05
1845909,IR06N119,IR 80376-12-2-3-3,IR 73707-45-3-2-3/IR 68552-100-1-2-2,B3322,484,B2769,1,2,20,17,83,113,94,22,10.3,4662,3,4737,6536,,,,,2013-04-05
2697149,IR10A117,IR 85640-114-2-1-3,IR05A229/IR 64,A3240,485,A3054,1,2,20,16,95,125,96,13,13.9,6622,,,8769,,,,,2013-04-13
3426985,IR12N234,IR 92239-78-3-1-2,IR02N211/TEQING,B3417,486,B5395,1,2,20,15,91,121,110,13,13.3,6456,2,6525,8701,,,,,2013-04-11
2697278,IR10N260,IR 85612-37-1-3-3,IR02W101/IR 72164-348-6-2-2-2,B3357,487,B2932,1,2,20,14,87,117,99,20,9.8,5166,3,5249,7283,,,,,2013-04-13
3427039,IR12A288,IR 92241-85-2-3-2,IRRI 154/TEQING,A3308,488,A5268,1,2,20,13,84,114,96,14,9.8,5520,,,7658,,,,,2013-04-05
3426014,IR12A202,IR 91061-11-1-3-3,IR04A427/MTU 1010,A3281,489,A5182,1,2,20,12,91,121,116,13,13.3,7251,1,7290,9721,,,,,2013-04-11
2696706,IR10N270,IR 85627-66-3-2-2,IR01W106/IR 71676-90-2-2,B3359,490,B2502,1,2,20,11,84,114,99,13,13,6543,1,6578,8802,,,,,2013-04-11
3426973,IR12N231,IR 92239-13-3-2-2,IR02N211/TEQING,B3415,491,B5392,1,2,20,10,91,121,109,16,13.9,7425,1,7464,9885,,,,,2013-04-13
2222917,IR07A257,IR 82575-578-2-3,PR 31090-33-2-1/IRRI 123,A3219,492,A2804,1,2,20,9,84,114,89,17,10.1,5623,,,7775,,,,,2013-04-05
